concept,row_order,section,bank,table_type_id,canonical_leaf_id,canonical_col_id,sign,member_ordinal,source_family,filter_by
Gross loans,1,By Allowance,DBS,FS_CUSTOMER_LOANS,gross,,1,1,Performance_summary,period_end_date
Gross loans,1,By Allowance,OCBC,FS_CUSTOMER_LOANS,gross_loans,,1,1,Media_release_and_financial_highlights,period_end_date
Gross loans,1,By Allowance,UOB,FS_CUSTOMER_LOANS,gross_customer_loans,,1,1,Condensed_financial_statements,period_end_date
Specific allowance,2,By Allowance,DBS,FS_CUSTOMER_LOANS,ecl_stage_3_sp,,1,1,Performance_summary,period_end_date
Specific allowance,2,By Allowance,OCBC,FS_CUSTOMER_LOANS,allowances::impaired_loans,,1,1,Media_release_and_financial_highlights,period_end_date
Specific allowance,2,By Allowance,UOB,FS_CUSTOMER_LOANS,less_general_allowance::specific_allowance,,1,1,Condensed_financial_statements,period_end_date
General allowance,3,By Allowance,DBS,FS_CUSTOMER_LOANS,ecl_stage_1_and_2_gp,,1,1,Performance_summary,period_end_date
General allowance,3,By Allowance,OCBC,FS_CUSTOMER_LOANS,allowances::non_impaired_loans,,1,1,Media_release_and_financial_highlights,period_end_date
General allowance,3,By Allowance,UOB,FS_CUSTOMER_LOANS,less_general_allowance,,1,1,Condensed_financial_statements,period_end_date
Net loans,4,By Allowance,DBS,FS_CUSTOMER_LOANS,net_total,,1,1,Performance_summary,period_end_date
Net loans,4,By Allowance,OCBC,FS_CUSTOMER_LOANS,allowances::net_loans,,1,1,Media_release_and_financial_highlights,period_end_date
Net loans,4,By Allowance,UOB,FS_CUSTOMER_LOANS,net_customer_loans,,1,1,Condensed_financial_statements,period_end_date
Group Retail,5,By Business Unit,DBS,FS_CUSTOMER_LOANS,by_business_unit::consumer_banking_wealth_management,,1,1,Performance_summary,period_end_date
Group Retail,5,By Business Unit,OCBC,FS_BS_BY_SEGMENT,other_information::gross_non_bank_loans,global_consumer_private_banking,1,1,Condensed_financial_statements,period_end_date
Group Retail,5,By Business Unit,UOB,FS_BALANCE_BY_SEGMENT,other_information::gross_customer_loans,gr,1,1,Condensed_financial_statements,period_end_date
Group Wholesale Banking,6,By Business Unit,DBS,FS_CUSTOMER_LOANS,by_business_unit::institutional_banking,,1,1,Performance_summary,period_end_date
Group Wholesale Banking,6,By Business Unit,OCBC,FS_BS_BY_SEGMENT,other_information::gross_non_bank_loans,global_wholesale_banking,1,1,Condensed_financial_statements,period_end_date
Group Wholesale Banking,6,By Business Unit,UOB,FS_BALANCE_BY_SEGMENT,other_information::gross_customer_loans,gwb,1,1,Condensed_financial_statements,period_end_date
Others (BU),7,By Business Unit,DBS,FS_CUSTOMER_LOANS,by_business_unit::others,,1,1,Performance_summary,period_end_date
Singapore,8,By Geography,DBS,FS_CUSTOMER_LOANS,by_geography::singapore,,1,1,Performance_summary,period_end_date
Singapore,8,By Geography,OCBC,FS_CUSTOMER_LOANS,by_geography::singapore,,1,1,Media_release_and_financial_highlights,period_end_date
