concept,row_order,section,bank,table_type_id,canonical_leaf_id,canonical_col_id,sign,member_ordinal,source_family,filter_by
Others (BU),7,By Business Unit,OCBC,FS_BALANCE_BY_SEGMENT,other_information::gross_non_bank_loans,global_markets,1,1,Condensed_financial_statements,period_end_date
Others (BU),7,By Business Unit,OCBC,FS_BALANCE_BY_SEGMENT,other_information::gross_non_bank_loans,insurance,1,2,Condensed_financial_statements,period_end_date
Others (BU),7,By Business Unit,OCBC,FS_BALANCE_BY_SEGMENT,other_information::gross_non_bank_loans,others,1,3,Condensed_financial_statements,period_end_date
Others (BU),7,By Business Unit,UOB,FS_BALANCE_BY_SEGMENT,other_information::gross_customer_loans,gm,1,1,Condensed_financial_statements,period_end_date
Others (BU),7,By Business Unit,UOB,FS_BALANCE_BY_SEGMENT,other_information::gross_customer_loans,others,1,2,Condensed_financial_statements,period_end_date
Greater China,9,By Geography,DBS,FS_CUSTOMER_LOANS,by_geography::hong_kong,,1,1,Performance_summary,period_end_date
Greater China,9,By Geography,DBS,FS_CUSTOMER_LOANS,by_geography::rest_of_greater_china,,1,2,Performance_summary,period_end_date
Asia (geo),10,By Geography,OCBC,FS_CUSTOMER_LOANS,by_geography::malaysia,,1,1,Media_release_and_financial_highlights,period_end_date
Asia (geo),10,By Geography,OCBC,FS_CUSTOMER_LOANS,by_geography::indonesia,,1,2,Media_release_and_financial_highlights,period_end_date
Asia (geo),10,By Geography,OCBC,FS_CUSTOMER_LOANS,by_geography::other_asia_pacific,,1,3,Media_release_and_financial_highlights,period_end_date
Asia (geo),10,By Geography,UOB,FS_CUSTOMER_LOANS,by_geography::malaysia,,1,1,Condensed_financial_statements,period_end_date
Asia (geo),10,By Geography,UOB,FS_CUSTOMER_LOANS,by_geography::thailand,,1,2,Condensed_financial_statements,period_end_date
Asia (geo),10,By Geography,UOB,FS_CUSTOMER_LOANS,by_geography::indonesia,,1,3,Condensed_financial_statements,period_end_date
Others (Industry),19,By Industry,OCBC,FS_CUSTOMER_LOANS,by_industry::others,,1,1,Media_release_and_financial_highlights,period_end_date
Others (Industry),19,By Industry,OCBC,FS_CUSTOMER_LOANS,by_industry::agriculture_mining_and_quarrying,,1,2,Media_release_and_financial_highlights,period_end_date
Asia (currency),22,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::chinese_yuan,,1,1,Performance_summary,period_end_date
Asia (currency),22,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::hong_kong_dollar,,1,2,Performance_summary,period_end_date
Asia (currency),22,By Currency,DBS,FS_CUSTOMER_LOANS,by_currency::taiwan_dollar,,1,3,Performance_summary,period_end_date
Asia (currency),22,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::malaysian_ringgit,,1,1,Media_release_and_financial_highlights,period_end_date
Asia (currency),22,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::indonesian_rupiah,,1,2,Media_release_and_financial_highlights,period_end_date
Asia (currency),22,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::chinese_renminbi,,1,3,Media_release_and_financial_highlights,period_end_date
Asia (currency),22,By Currency,OCBC,FS_CUSTOMER_LOANS,by_currency::hong_kong_dollar,,1,4,Media_release_and_financial_highlights,period_end_date
Asia (currency),22,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::malaysian_ringgit,,1,1,Condensed_financial_statements,period_end_date
Asia (currency),22,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::thai_baht,,1,2,Condensed_financial_statements,period_end_date
Asia (currency),22,By Currency,UOB,FS_CUSTOMER_LOANS,by_currency::indonesian_rupiah,,1,3,Condensed_financial_statements,period_end_date
Over 3 years,32,By Maturity,UOB,FS_CUSTOMER_LOANS,by_maturity::over_3_years_but_within_5_years,,1,1,Condensed_financial_statements,period_end_date
Over 3 years,32,By Maturity,UOB,FS_CUSTOMER_LOANS,by_maturity::over_5_years,,1,2,Condensed_financial_statements,period_end_date
